M,n,W,U,D,L,S,Speedup
2000,1,1000,t,8,nan,L,0.88054 
2000,1,1000,t,8,p,H,0.88662 
2000,1,1000,t,8,a,H,0.86900 
2000,1,1000,t,8,p,A,0.85717 
2000,1,1000,t,8,a,A,0.86480 
2000,2,1000,t,8,nan,L,1.63696 
2000,2,1000,t,8,p,H,1.63530 
2000,2,1000,t,8,a,H,1.61913 
2000,2,1000,t,8,p,A,1.65077 
2000,2,1000,t,8,a,A,1.62238 
2000,3,1000,t,8,nan,L,2.28197 
2000,3,1000,t,8,p,H,2.12378 
2000,3,1000,t,8,a,H,2.08350 
2000,3,1000,t,8,p,A,2.26069 
2000,3,1000,t,8,a,A,2.17918 
2000,7,1000,t,8,nan,L,0.91991 
2000,7,1000,t,8,p,H,1.01116 
2000,7,1000,t,8,a,H,0.78812 
2000,7,1000,t,8,p,A,2.30474 
2000,7,1000,t,8,a,A,1.42955 
2000,13,1000,t,8,nan,L,0.30589 
2000,13,1000,t,8,p,H,0.23445 
2000,13,1000,t,8,a,H,0.34535 
2000,13,1000,t,8,p,A,0.19423 
2000,13,1000,t,8,a,A,0.10050 
2000,27,1000,t,8,nan,L,0.34704 
2000,27,1000,t,8,p,H,0.28208 
2000,27,1000,t,8,a,H,0.18160 
2000,27,1000,t,8,p,A,0.02397 
2000,27,1000,t,8,a,A,0.01791 
2000,1,2000,t,8,nan,L,0.94004 
2000,1,2000,t,8,p,H,0.91999 
2000,1,2000,t,8,a,H,0.90846 
2000,1,2000,t,8,p,A,0.91216 
2000,1,2000,t,8,a,A,0.90763 
2000,2,2000,t,8,nan,L,1.69158 
2000,2,2000,t,8,p,H,1.72536 
2000,2,2000,t,8,a,H,1.67144 
2000,2,2000,t,8,p,A,1.68452 
2000,2,2000,t,8,a,A,1.73394 
2000,3,2000,t,8,nan,L,2.30722 
2000,3,2000,t,8,p,H,2.13073 
2000,3,2000,t,8,a,H,2.27776 
2000,3,2000,t,8,p,A,2.48307 
2000,3,2000,t,8,a,A,2.43643 
2000,7,2000,t,8,nan,L,0.88516 
2000,7,2000,t,8,p,H,1.45592 
2000,7,2000,t,8,a,H,1.12010 
2000,7,2000,t,8,p,A,3.15642 
2000,7,2000,t,8,a,A,2.33407 
2000,13,2000,t,8,nan,L,0.47752 
2000,13,2000,t,8,p,H,0.74226 
2000,13,2000,t,8,a,H,0.59824 
2000,13,2000,t,8,p,A,0.30254 
2000,13,2000,t,8,a,A,0.08154 
2000,27,2000,t,8,nan,L,0.39737 
2000,27,2000,t,8,p,H,0.57767 
2000,27,2000,t,8,a,H,0.53889 
2000,27,2000,t,8,p,A,0.03657 
2000,27,2000,t,8,a,A,0.03287 
2000,1,4000,t,8,nan,L,0.93765 
2000,1,4000,t,8,p,H,0.95353 
2000,1,4000,t,8,a,H,0.93598 
2000,1,4000,t,8,p,A,0.91876 
2000,1,4000,t,8,a,A,0.94803 
2000,2,4000,t,8,nan,L,1.69169 
2000,2,4000,t,8,p,H,1.74343 
2000,2,4000,t,8,a,H,1.71108 
2000,2,4000,t,8,p,A,1.78511 
2000,2,4000,t,8,a,A,1.81407 
2000,3,4000,t,8,nan,L,2.00297 
2000,3,4000,t,8,p,H,2.32294 
2000,3,4000,t,8,a,H,1.91190 
2000,3,4000,t,8,p,A,2.57977 
2000,3,4000,t,8,a,A,2.57338 
2000,7,4000,t,8,nan,L,1.30735 
2000,7,4000,t,8,p,H,1.83174 
2000,7,4000,t,8,a,H,1.42193 
2000,7,4000,t,8,p,A,2.86608 
2000,7,4000,t,8,a,A,0.94204 
2000,13,4000,t,8,nan,L,0.71720 
2000,13,4000,t,8,p,H,0.56184 
2000,13,4000,t,8,a,H,0.89437 
2000,13,4000,t,8,p,A,0.08651 
2000,13,4000,t,8,a,A,0.12196 
2000,27,4000,t,8,nan,L,0.78998 
2000,27,4000,t,8,p,H,0.71621 
2000,27,4000,t,8,a,H,1.09621 
2000,27,4000,t,8,p,A,0.06654 
2000,27,4000,t,8,a,A,0.07014 
2000,1,8000,t,8,nan,L,0.96388 
2000,1,8000,t,8,p,H,0.93860 
2000,1,8000,t,8,a,H,0.94688 
2000,1,8000,t,8,p,A,0.94798 
2000,1,8000,t,8,a,A,0.95148 
2000,2,8000,t,8,nan,L,1.81910 
2000,2,8000,t,8,p,H,1.71536 
2000,2,8000,t,8,a,H,1.68530 
2000,2,8000,t,8,p,A,1.85284 
2000,2,8000,t,8,a,A,1.79837 
2000,3,8000,t,8,nan,L,2.37235 
2000,3,8000,t,8,p,H,2.25062 
2000,3,8000,t,8,a,H,2.00004 
2000,3,8000,t,8,p,A,2.42892 
2000,3,8000,t,8,a,A,2.39390 
2000,7,8000,t,8,nan,L,1.38731 
2000,7,8000,t,8,p,H,1.30056 
2000,7,8000,t,8,a,H,0.96995 
2000,7,8000,t,8,p,A,2.25277 
2000,7,8000,t,8,a,A,3.13122 
2000,13,8000,t,8,nan,L,0.80182 
2000,13,8000,t,8,p,H,1.09393 
2000,13,8000,t,8,a,H,0.62013 
2000,13,8000,t,8,p,A,0.25469 
2000,13,8000,t,8,a,A,0.20383 
2000,27,8000,t,8,nan,L,1.20712 
2000,27,8000,t,8,p,H,1.28697 
2000,27,8000,t,8,a,H,1.31683 
2000,27,8000,t,8,p,A,0.14012 
2000,27,8000,t,8,a,A,0.13988 
2000,1,1000,f,8,nan,L,0.89175 
2000,1,1000,f,8,p,H,0.87517 
2000,1,1000,f,8,a,H,0.83712 
2000,1,1000,f,8,p,A,0.84176 
2000,1,1000,f,8,a,A,0.83476 
2000,2,1000,f,8,nan,L,1.20115 
2000,2,1000,f,8,p,H,1.13876 
2000,2,1000,f,8,a,H,1.30316 
2000,2,1000,f,8,p,A,1.61936 
2000,2,1000,f,8,a,A,1.55315 
2000,3,1000,f,8,nan,L,1.40074 
2000,3,1000,f,8,p,H,1.36511 
2000,3,1000,f,8,a,H,1.41394 
2000,3,1000,f,8,p,A,2.11715 
2000,3,1000,f,8,a,A,1.98442 
2000,7,1000,f,8,nan,L,0.68063 
2000,7,1000,f,8,p,H,0.88336 
2000,7,1000,f,8,a,H,0.68263 
2000,7,1000,f,8,p,A,1.46710 
2000,7,1000,f,8,a,A,1.06694 
2000,13,1000,f,8,nan,L,0.30901 
2000,13,1000,f,8,p,H,0.51098 
2000,13,1000,f,8,a,H,0.34946 
2000,13,1000,f,8,p,A,0.05947 
2000,13,1000,f,8,a,A,0.05277 
2000,27,1000,f,8,nan,L,0.39473 
2000,27,1000,f,8,p,H,0.24178 
2000,27,1000,f,8,a,H,0.43973 
2000,27,1000,f,8,p,A,0.01866 
2000,27,1000,f,8,a,A,0.01567 
2000,1,2000,f,8,nan,L,0.93623 
2000,1,2000,f,8,p,H,0.92618 
2000,1,2000,f,8,a,H,0.90559 
2000,1,2000,f,8,p,A,0.91387 
2000,1,2000,f,8,a,A,0.92167 
2000,2,2000,f,8,nan,L,1.35543 
2000,2,2000,f,8,p,H,1.21149 
2000,2,2000,f,8,a,H,1.30527 
2000,2,2000,f,8,p,A,1.72855 
2000,2,2000,f,8,a,A,1.69384 
2000,3,2000,f,8,nan,L,1.35401 
2000,3,2000,f,8,p,H,1.54429 
2000,3,2000,f,8,a,H,1.31412 
2000,3,2000,f,8,p,A,2.18001 
2000,3,2000,f,8,a,A,2.38695 
2000,7,2000,f,8,nan,L,0.62557 
2000,7,2000,f,8,p,H,0.93077 
2000,7,2000,f,8,a,H,0.42874 
2000,7,2000,f,8,p,A,1.70995 
2000,7,2000,f,8,a,A,2.05708 
2000,13,2000,f,8,nan,L,0.76922 
2000,13,2000,f,8,p,H,0.66055 
2000,13,2000,f,8,a,H,0.85486 
2000,13,2000,f,8,p,A,0.13578 
2000,13,2000,f,8,a,A,0.08213 
2000,27,2000,f,8,nan,L,0.43569 
2000,27,2000,f,8,p,H,0.43366 
2000,27,2000,f,8,a,H,0.54067 
2000,27,2000,f,8,p,A,0.03321 
2000,27,2000,f,8,a,A,0.03089 
2000,1,4000,f,8,nan,L,0.94541 
2000,1,4000,f,8,p,H,0.94405 
2000,1,4000,f,8,a,H,0.92200 
2000,1,4000,f,8,p,A,0.92099 
2000,1,4000,f,8,a,A,0.90539 
2000,2,4000,f,8,nan,L,1.37445 
2000,2,4000,f,8,p,H,1.30418 
2000,2,4000,f,8,a,H,1.20340 
2000,2,4000,f,8,p,A,1.67259 
2000,2,4000,f,8,a,A,1.74917 
2000,3,4000,f,8,nan,L,1.50773 
2000,3,4000,f,8,p,H,1.46753 
2000,3,4000,f,8,a,H,1.55921 
2000,3,4000,f,8,p,A,2.68828 
2000,3,4000,f,8,a,A,2.63992 
2000,7,4000,f,8,nan,L,0.61579 
2000,7,4000,f,8,p,H,1.02628 
2000,7,4000,f,8,a,H,0.75421 
2000,7,4000,f,8,p,A,2.12297 
2000,7,4000,f,8,a,A,1.58882 
2000,13,4000,f,8,nan,L,0.50671 
2000,13,4000,f,8,p,H,0.51733 
2000,13,4000,f,8,a,H,0.42762 
2000,13,4000,f,8,p,A,0.11229 
2000,13,4000,f,8,a,A,0.09279 
2000,27,4000,f,8,nan,L,0.76429 
2000,27,4000,f,8,p,H,0.82558 
2000,27,4000,f,8,a,H,0.65495 
2000,27,4000,f,8,p,A,0.07372 
2000,27,4000,f,8,a,A,0.06452 
2000,1,8000,f,8,nan,L,0.96505 
2000,1,8000,f,8,p,H,0.95770 
2000,1,8000,f,8,a,H,0.95979 
2000,1,8000,f,8,p,A,0.95534 
2000,1,8000,f,8,a,A,0.95017 
2000,2,8000,f,8,nan,L,1.32166 
2000,2,8000,f,8,p,H,1.40894 
2000,2,8000,f,8,a,H,1.44202 
2000,2,8000,f,8,p,A,1.93533 
2000,2,8000,f,8,a,A,1.89870 
2000,3,8000,f,8,nan,L,1.46603 
2000,3,8000,f,8,p,H,1.68348 
2000,3,8000,f,8,a,H,1.60091 
2000,3,8000,f,8,p,A,2.76156 
2000,3,8000,f,8,a,A,2.75312 
2000,7,8000,f,8,nan,L,0.82764 
2000,7,8000,f,8,p,H,0.96316 
2000,7,8000,f,8,a,H,0.81491 
2000,7,8000,f,8,p,A,2.68478 
2000,7,8000,f,8,a,A,2.37525 
2000,13,8000,f,8,nan,L,1.22225 
2000,13,8000,f,8,p,H,1.03293 
2000,13,8000,f,8,a,H,1.19426 
2000,13,8000,f,8,p,A,0.22010 
2000,13,8000,f,8,a,A,0.20869 
2000,27,8000,f,8,nan,L,1.27078 
2000,27,8000,f,8,p,H,0.95198 
2000,27,8000,f,8,a,H,0.87578 
2000,27,8000,f,8,p,A,0.14073 
2000,27,8000,f,8,a,A,0.12996 
